lat,long,customer_id,trip_id,week_index,type,ride_count
40.724,-73.838,58,39109500000000.0,80,destination,740
40.724,-73.838,58,39134700000000.0,80,destination,740
40.724,-73.838,58,39210300000000.0,80,destination,740
40.724,-73.838,58,39286000000000.0,80,destination,740
40.724,-73.838,58,39412000000000.0,80,destination,740
40.724,-73.838,58,39437200000000.0,80,destination,740
40.724,-73.838,58,39512900000000.0,80,destination,740
40.724,-73.838,58,39765000000000.0,80,destination,740
40.724,-73.838,58,39865900000000.0,80,destination,740
40.724,-73.838,58,39891100000000.0,80,destination,740
40.724,-73.838,58,39941500000000.0,80,destination,740
40.724,-73.838,58,40193700000000.0,80,destination,740
40.724,-73.838,58,40269300000000.0,80,destination,740
40.724,-73.838,58,40345000000000.0,80,destination,740
40.724,-73.838,58,40672800000000.0,80,destination,740
40.724,-73.838,58,40698000000000.0,80,destination,740
40.724,-73.838,58,40849300000000.0,80,destination,740
40.724,-73.838,58,40950100000000.0,80,destination,740
40.724,-73.838,58,41051000000000.0,80,destination,740
40.724,-73.838,58,41151900000000.0,80,destination,740
40.724,-73.838,58,41202300000000.0,80,destination,740
40.724,-73.838,58,41227500000000.0,80,destination,740
40.724,-73.838,58,41328400000000.0,80,destination,740
40.724,-73.838,58,41353600000000.0,80,destination,740
40.724,-73.838,58,41454400000000.0,80,destination,740
40.724,-73.838,58,41479700000000.0,80,destination,740
40.724,-73.838,58,41530100000000.0,80,destination,740
40.724,-73.838,58,41605700000000.0,80,destination,740
40.724,-73.838,58,41630900000000.0,80,destination,740
40.724,-73.838,58,41782200000000.0,80,destination,740
40.724,-73.838,58,41958700000000.0,80,destination,740
40.724,-73.838,58,42009200000000.0,80,destination,740
40.724,-73.838,58,42135200000000.0,80,destination,740
40.724,-73.838,58,42160500000000.0,80,destination,740
40.724,-73.838,58,42236100000000.0,80,destination,740
40.724,-73.838,58,42387400000000.0,80,destination,740
40.724,-73.838,58,42412600000000.0,80,destination,740
40.724,-73.838,58,42463000000000.0,80,destination,740
40.724,-73.838,58,42538700000000.0,80,destination,740
40.724,-73.838,58,42563900000000.0,80,destination,740
40.724,-73.838,58,42614300000000.0,80,destination,740
40.724,-73.838,58,42715200000000.0,80,destination,740
40.724,-73.838,58,42790800000000.0,80,destination,740
40.724,-73.838,58,42841300000000.0,80,destination,740
40.724,-73.838,58,42866500000000.0,80,destination,740
40.724,-73.838,58,42916900000000.0,80,destination,740
40.724,-73.838,58,43017800000000.0,80,destination,740
40.724,-73.838,58,43093400000000.0,80,destination,740
40.724,-73.838,58,43244700000000.0,80,destination,740
40.724,-73.838,58,43345600000000.0,80,destination,740
40.724,-73.838,58,43496800000000.0,80,destination,740
40.724,-73.838,58,43622900000000.0,80,destination,740
40.724,-73.838,58,43673400000000.0,80,destination,740
40.724,-73.838,58,43824600000000.0,80,destination,740
40.724,-73.838,58,43950700000000.0,80,destination,740
40.724,-73.838,58,44001100000000.0,80,destination,740
40.724,-73.838,58,44076800000000.0,80,destination,740
40.724,-73.838,58,44177600000000.0,80,destination,740
40.724,-73.838,58,44278500000000.0,80,destination,740
40.724,-73.838,58,44379400000000.0,80,destination,740
40.724,-73.838,58,44455000000000.0,80,destination,740
40.724,-73.838,58,44555900000000.0,80,destination,740
40.724,-73.838,58,44656700000000.0,80,destination,740
40.724,-73.838,58,44707200000000.0,80,destination,740
40.724,-73.838,58,44833200000000.0,80,destination,740
40.724,-73.838,58,44908900000000.0,80,destination,740
40.724,-73.838,58,45009700000000.0,80,destination,740
40.724,-73.838,58,45110600000000.0,80,destination,740
40.724,-73.838,58,45161000000000.0,80,destination,740
40.724,-73.838,58,45186200000000.0,80,destination,740
40.724,-73.838,58,45236700000000.0,80,destination,740
40.724,-73.838,58,45287100000000.0,80,destination,740
40.724,-73.838,58,45388000000000.0,80,destination,740
40.724,-73.838,58,45438400000000.0,80,destination,740
40.724,-73.838,58,45488800000000.0,80,destination,740
40.724,-73.838,58,45564500000000.0,80,destination,740
40.724,-73.838,58,45640100000000.0,80,destination,740
40.724,-73.838,58,45715800000000.0,80,destination,740
40.724,-73.838,58,45816600000000.0,80,destination,740
40.724,-73.838,58,46018300000000.0,80,destination,740
40.724,-73.838,58,46119200000000.0,80,destination,740
40.724,-73.838,58,46396600000000.0,80,destination,740
40.724,-73.838,58,46472200000000.0,80,destination,740
40.724,-73.838,58,46547900000000.0,80,destination,740
40.724,-73.838,58,46623500000000.0,80,destination,740
40.724,-73.838,58,46724400000000.0,80,destination,740
40.724,-73.838,58,46749600000000.0,80,destination,740
40.724,-73.838,58,46850400000000.0,80,destination,740
40.724,-73.838,58,46875600000000.0,80,destination,740
40.724,-73.838,58,46926100000000.0,80,destination,740
40.724,-73.838,58,47026900000000.0,80,destination,740
40.724,-73.838,58,48060700000000.0,80,destination,740
40.724,-73.838,58,48161600000000.0,80,destination,740
40.724,-73.838,58,48212000000000.0,80,destination,740
40.724,-73.838,58,48338100000000.0,80,destination,740
40.724,-73.838,58,48363300000000.0,80,destination,740
40.724,-73.838,58,48514600000000.0,80,destination,740
40.724,-73.838,58,48565000000000.0,80,destination,740
40.724,-73.838,58,48741500000000.0,80,destination,740
40.724,-73.838,58,48792000000000.0,80,destination,740
40.724,-73.838,58,48867600000000.0,80,destination,740
40.724,-73.838,58,48993700000000.0,80,destination,740
40.724,-73.838,58,49699700000000.0,80,destination,740
40.724,-73.838,58,49724900000000.0,80,destination,740
40.724,-73.838,58,49825800000000.0,80,destination,740
40.724,-73.838,58,49876200000000.0,80,destination,740
40.724,-73.838,58,49977100000000.0,80,destination,740
40.724,-73.838,58,50077900000000.0,80,destination,740
40.724,-73.838,58,50229200000000.0,80,destination,740
40.724,-73.838,58,50279700000000.0,80,destination,740
40.724,-73.838,58,50405700000000.0,80,destination,740
40.724,-73.838,58,50557000000000.0,80,destination,740
40.724,-73.838,58,50632700000000.0,80,destination,740
40.724,-73.838,58,50733500000000.0,80,destination,740
40.724,-73.838,58,50809200000000.0,80,destination,740
40.724,-73.838,58,50910000000000.0,80,destination,740
40.724,-73.838,58,51010900000000.0,80,destination,740
40.724,-73.838,58,51162200000000.0,80,destination,740
40.724,-73.838,58,51237800000000.0,80,destination,740
40.724,-73.838,58,51313500000000.0,80,destination,740
40.724,-73.838,58,51414300000000.0,80,destination,740
40.724,-73.838,58,51616000000000.0,80,destination,740
40.724,-73.838,58,51666500000000.0,80,destination,740
40.724,-73.838,58,51767300000000.0,80,destination,740
40.724,-73.838,58,51868200000000.0,80,destination,740
40.724,-73.838,58,51918600000000.0,80,destination,740
40.724,-73.838,58,52095100000000.0,80,destination,740
40.724,-73.838,58,52120300000000.0,80,destination,740
40.724,-73.838,58,52221200000000.0,80,destination,740
40.724,-73.838,58,52296800000000.0,80,destination,740
40.724,-73.838,58,52372500000000.0,80,destination,740
40.724,-73.838,58,52473400000000.0,80,destination,740
40.724,-73.838,58,52523800000000.0,80,destination,740
40.724,-73.838,58,52649900000000.0,80,destination,740
40.724,-73.838,58,52675100000000.0,80,destination,740
40.724,-73.838,58,52826400000000.0,80,destination,740
40.724,-73.838,58,52851600000000.0,80,destination,740
40.724,-73.838,58,52902000000000.0,80,destination,740
40.724,-73.838,58,53053300000000.0,80,destination,740
40.724,-73.838,58,53103700000000.0,80,destination,740
40.724,-73.838,58,53280200000000.0,80,destination,740
40.724,-73.838,58,53355900000000.0,80,destination,740
40.724,-73.838,58,53406300000000.0,80,destination,740
40.724,-73.838,58,53456700000000.0,80,destination,740
40.724,-73.838,58,53532400000000.0,80,destination,740
40.724,-73.838,58,53683700000000.0,80,destination,740
40.724,-73.838,58,53759300000000.0,80,destination,740
40.724,-73.838,58,53835000000000.0,80,destination,740
40.724,-73.838,58,53885400000000.0,80,destination,740
40.724,-73.838,58,54112300000000.0,80,destination,740
40.724,-73.838,58,54137500000000.0,80,destination,740
40.724,-73.838,58,54162800000000.0,80,destination,740
40.724,-73.838,58,54288800000000.0,80,destination,740
40.724,-73.838,58,54389700000000.0,80,destination,740
40.724,-73.838,58,54490500000000.0,80,destination,740
40.724,-73.838,58,54566200000000.0,80,destination,740
40.724,-73.838,58,54692300000000.0,80,destination,740
40.724,-73.838,58,54742700000000.0,80,destination,740
40.724,-73.838,58,54818300000000.0,80,destination,740
40.724,-73.838,58,54919200000000.0,80,destination,740
40.724,-73.838,58,55045300000000.0,80,destination,740
40.724,-73.838,58,55070500000000.0,80,destination,740
40.724,-73.838,58,55171300000000.0,80,destination,740
40.724,-73.838,58,55322600000000.0,80,destination,740
40.724,-73.838,58,55423500000000.0,80,destination,740
40.724,-73.838,58,55499100000000.0,80,destination,740
40.724,-73.838,58,55625200000000.0,80,destination,740
